stopword removal,score,Sentiment
pemeliharaan sistem teroooss susah nya klo pake malem pemeliharaan prasaan bank ga gini gini,1,Negatif
gangguan,1,Negatif
bagus,5,Positif
suka loading nya suka lambat transaksi,1,Negatif
membantu amanah,4,Positif
qris bosok,1,Negatif
gagal transaksi maintenance nya gak menentu,1,Negatif
uang tf pt mengurang gada keterangannya,3,Positif
gimana kode otp verifikasi sms gamasuk masuk nomor pdhl no aktif sialan mandiri,1,Negatif
perbaikin noh bug nyaa kebiasaan bgt top up ewalet ga ketemu nomor nya udah bener nomor nya,1,Negatif
buka rekening udah sebulan sampe kartunya ga dateng banget,1,Negatif
verifikasi wajah gimana udah sesuai aturan suruh ulang,1,Negatif
aplikasi bug transaksi macet transaksi gagal jaringan lancar jaya saldo aman perbaiki bujang,1,Negatif
menu paylater ga top up dana ga nambah beban aja aplikasi,1,Negatif
membantu,5,Positif
banget pemeliharaan malem transaksi terkendala,2,Negatif
mengganggu jam malamsetiap perbaikan performa terusmengganggu tau gapayahbeda bank sebelahyg perbaikan performa,1,Negatif
malam maintenance aja lemot,1,Negatif
penjelasan nya login terkahir masuk otp langsung gk,3,Positif
jujur kecewa livin mentransfer rekening dana dana berhasil mentransfer bank mandiri saldo d rekening gimana ceritanya bukanya membantu mempersulit transaksi kebutuhan orang kalo ngk memakai bank mandiri meresahkan kalo kyk gini dah laporan respon gmail whatsapp bank mandiri respon nya,1,Negatif
aplikasi login,1,Negatif
susah login mandri sayaa,2,Negatif
bagus banget,5,Positif
livin lemott banget enteng dibuka cepet skrg ampuun daach lambat bangeett,1,Negatif
mudah praktis,3,Positif
login gagal,1,Negatif
livin tarik tunai gabisa,3,Positif
membantu tranfer tarik tunai,5,Positif
halo mandiri aplikasi livin gabisa kebuka yah loading update instal ulang gabisa masuk isi pasword gabisa tertulis ulangi coba gimana yah,4,Positif
login licin disuruh ganti pasword ganti berulang ulang aplikasi tau ribet banget,1,Negatif
mantap,5,Positif
gak masuk,1,Negatif
biaya adminya x tolong,5,Positif
disaaat login ulang tidka tolong perbaiki masak eror login ulang,1,Negatif
gak buka lgi,1,Negatif
aplikasi tololl,1,Negatif
keren,5,Positif
sempurna mudah ga ribet,5,Positif
parahhhkartu mandiri blokir siatem mandiri,2,Negatif
mo transaksi ga kebuka nyusahin aja nge wifi padhal sinyal hp bagus ga ngerti,1,Negatif
heran sayakok buka aplikasi masukpadahal terdaftar aplikasi livinsetiap buka yg muncul seolaholah blm terdaftarsaya disuruh mendaftar blm terdaftarbgmna,1,Negatif
top up game udh transfer gagal knp si pdhl saldo pas nominal transaksi,1,Negatif
aplikasi livin berat bukanya spek hp cepet tp livin menit loading nya tolong min diperbaiki pengin membandingkan cobalah lihat aplikasi bank yg yg ringan bukanya,4,Positif
gmna solusinya sya udh bikin akun hp hp login lgi sya ga hafal nomor kartu email kartunya,5,Positif
mantap,5,Positif
apkne gak tau betapa minimum saldonya tf gagal gak pemberi tahunya seblom tf,1,Negatif
login,1,Negatif
andalan ku,5,Positif
biaya kartu debit potong x sebulan,1,Negatif
vivo x pro ga akses mohon perbaiki,5,Positif
knp d hyper os g,1,Negatif
pembantu,5,Positif
join livin pas masuk nya gabisa mengajukan amanan kartu gimna solusinya biar kartunya aktif mudah join livin tpi gitu kendala pas join,2,Negatif
apik,5,Positif
ngk suka mbanking isi from ulang lemottttttttttt gagal transaksi,1,Negatif
living mandiri keluarmau login susah verifikasi muka gagal muluakses susahkenapa menyusahkan cast,1,Negatif
prawatan bayar makanan jam pagi gak bisaa perawatan ngisi uang,1,Negatif
qris nya aneh kadang kadang kagak very very kecewa bikin malu orang belanja,1,Negatif
transaksi butuhkan gangguan aja payah,1,Negatif
pemeliharaan rutin yg mengganggu,1,Negatif
kecewa livin kartu tabungan utama blokir tampa kesalahan punkalau bnyak saldo nyabisa kacau kayak gini,1,Negatif
vermuk muka gagal,1,Negatif
maintenance ganggu transaksi urgent,1,Negatif
akun mandiri buka,4,Positif
living susah buka gak bagus gak,1,Negatif
luarbiasa,5,Positif
livin tolong perbaiki masuk login loading,3,Positif
aplikasi bodong akurat,1,Negatif
transaksi apapun berbayar,1,Negatif
livin terbuka aplikasinya otomatis terbuka,4,Positif
saldo hilang jt,1,Negatif
lemot,1,Negatif
ganti susah transaksi livin ngelag user friendly,1,Negatif
livin mengecewakan x mengajukan permohonan buka blokir rpt kabulkan pelayanan buruk,1,Negatif
tampilan ui aplikasi ny tolong balikkan versi lawas simple friendly,3,Positif
gak logout logout login sdh ngisi sesuai petunjuk bolak muter suruh selfie bikin passwordnya pinyabalik verifikasi wajah muter aja gak masukmasuk ampun,1,Negatif
bagus mengecewakan servicenya,5,Positif
parahhhh masuk aja nunggu menit lebihh,1,Negatif
meni kudu update wae livin teh unggal nmbah gede mb na,5,Positif
erro rpt perbaikannya,1,Negatif
mohon perbaiki sistem dali aplikasih livin by mandiri masuk didalam aplikasi livin buruk,1,Negatif
login terhubungbelom kelar kelar update nya,1,Negatif
bayar terkena admin mandiri kemaren gratis ga biaya kecuali transfer bank emng biayanya downgread,1,Negatif
semoga sukses livin by mandiri,5,Positif
verifikasi ratusan kali ga aplikasi burukkkkk,1,Negatif
aplikasi aneh dikit layanan tersedia paok,1,Negatif
lelet masuknya,2,Negatif
berguna,5,Positif
kacau livin mandiri gk login pembaruan lahh data udha login livin aja gk sengaja kasih bintang biar liat semuah orang bagus hapus aplikasi ganti bank jaringan bagus emang aplikasi nya yg eror semalam login livin layanan tersedia pakai mandiri udha liat aplikasi nya ribet kyk ginih dikit dikit bank kelen yg salah asik layanan tdak tersedia,5,Positif
sdh download tpi gak masuk,5,Positif
proses rekening mandiri verivikasi ktp buka rekening mandiri online,5,Positif
maksudnya si banget landing page jaringan g storage ram gede kek si yg bikin muternya gila gaabis pikir user friendly ui nya doang tampilan clean kalo lemot,1,Negatif
kasih bintang utk pembayaran va mandiri potongan admin g kyak va bca bni bri free admin,1,Negatif
udah banget loading nya lamamasuk aplikasinya make ga gini,2,Negatif
koq udah g menu power cash,5,Positif
pindah akun livin hp tapih sistem sibuk mulu aplikasih payah coba berkali kali tatap,1,Negatif
bagussimpel aman,5,Positif
buka livin mandiri sbelum trs layar hape yg bermasalh hpnya atu livin maintenance,3,Positif
lemot parah gara aplikasi jelek antrean kena tegur orang gara kl bayar pakai qris pembayaran online ga niat buatnya,1,Negatif
menyusahkan banget sekaran login ulang aja bkas ganti hp susah banget verifkasi wajah digagalkan trus pin livin nmor tlpn pemilik tsb,1,Negatif
susah verifikasi wajah,1,Negatif
fitur paylater nya payah,1,Negatif
aplikasi livin gak biss login nya habis install ulang gak,4,Positif
sinyalnya benerin buka mbanking muter susah banget,1,Negatif
mulu gak buka masuk no rek,3,Positif
parah banget buka livin banget kali sampe matiin hp tolong diperbaikin,3,Positif
recovery gak looping verifikasi wajah password,1,Negatif
terpercaya amanah,5,Positif
verifikasi wajah susah lambat,1,Negatif
vivo x pro andro ga buka livinnya,5,Positif
menolak aksesjadi ndak loginpadahal ndak log outdi pakai saldo berantakan semuaterakhir yak pke aplikasi,1,Negatif
susah banged login kalo diluar bayar bikin malu antri gara gak login,1,Negatif
ka lupa password gimana lupa sandi nya kartu nya,4,Positif
error trs livin,1,Negatif
kayanya livin aja buka mbangking nya masuk nya gak kaya mbangkin yg,3,Positif
sanggat bermanfaat,5,Positif
aplikasi saaaaaaangatt kren hebat membantuu pokonya rekomen bgt,5,Positif
memudahkan transaksi,5,Positif
lola bngt skrng buka aplikasi livin nya mah kya gini akhr sussaaaahh bnget buka nya muteerr aja pdhl udah update msh aja kdng smpe matiin dta idupin mcing biar cpet msuk livinya ganggu bnget kdng smpe meit nunggu nya gak buka lloooollaaa bikin kesel kdng orng bru jd bikin kesel aja sma livin,1,Negatif
apl livin jelek saldo masuk terupdate gimana lihat saldo tolong cepat check perbaiki parah bikin ribut mandiri gara gara penagihan saldo isi bilang sekelas mandiri komen bintang bikin ngeri,1,Negatif
performa m banking terburuk jam pemeliharaan sistem transfer via qr kadang kadang top up dana transaksi m banking,1,Negatif
tolong perbaiki top up ewallet bermasalah nomor temukan top up ewallet bermasalah tolong perbaiki,2,Negatif
sekedar pemberi tahuan penipuanmengatas namakan bank bri,5,Positif
bismillahhhhh,5,Positif
pinjam ga duh knpa living mandiri pelayanan tolong tingkatkan,1,Negatif
aplikasi kaya gini pake selfie gak fitur kamera hadeh bergaya,1,Negatif
alhamdulillah skrang buka aplikasi nya lancar,5,Positif
loading bangetkadang gagal loading mulu,2,Negatif
livin nya knpa y trobel trus tf uang gak,1,Negatif
ga eror,1,Negatif
download livrin pas buka gak alasan nya panggilan livrin yg bego hp yg bego nyesel download nya,1,Negatif
loadingnya,5,Positif
alikasi busuk,1,Negatif
pake livin semenjak hp hilangterus lapor kantor bank ganti nomor pakai livin nya,2,Negatif
bagus bermanfaat,5,Positif
livin potongan biaya admin bayar mohon perbaiki,4,Positif
mengajukan pinjaman on line menu aplikasi ad,5,Positif
livin transaksi mohon bantuannya,5,Positif
coba login gagal trus gimna,4,Positif
aplikasi bagus membantu,5,Positif
gara gara simpel nggak buka rekening livin,1,Negatif
uda dr th blm dpt pinjaman dr kartu kredit mandiri,3,Positif
penawaran ksm gk muncul,5,Positif
aplikasi update sistem operasi mendukung aplikasi pindah brimo aja dah kacau ni livin,1,Negatif
biaya tambahan admin kalo bayar tuh heran ngga,3,Positif
semoga ap bagus,5,Positif
cocok,5,Positif
m banking eror gabisa dibuka yaaa,2,Negatif
bagu ngekek kalo buka,4,Positif
maaf ktp burem gimna daftar livin kendala ktp aja,3,Positif
muncul paylater pembayaran gaji via mandiri,1,Negatif
bnyk msalh login,2,Negatif
kaya bca yg gapernah nahan saldo,1,Negatif
login layanan tersedia gimana ribet banget kayanya,1,Negatif
ga angin ga ujan aja livin ku ga buka blokir giliran kantor nya bilang nya ganguan jdi sru hubungi pas udah hubungin cuman ngabisin pulsa ga klo perbaiki layanan gitu,1,Negatif
livin dikasih call center bebas pulsa kalangan menengah leluasa keluhan dibatasi rupiah mengadukan keluhan beli pulsa telepon ujungnya kehabisan pulsa mati connection hilang ga mohon diperhatikan biar kaya si aplikasi biru tua biru muda,3,Positif
benerbener rakus serakah transaksi platform spt sopi dana kena biaya admin mengambil untung nasabah,1,Negatif
bnyk biaya admin dikit admin dikit admih,1,Negatif
